date,apy_roi,apy_cpi,cpi_one_dollar,roi_one_dollar,num_il_2,num_il_1,num_al_2,num_al_1,num_il,num_non_taylor_2,num_non_taylor_1,num_non_taylor,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_inv_lc_norm,cum_mo_earn_inv_lc_norm,mo_earn_inv_cc_norm,cum_mo_earn_inv_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_ss_norm,cum_mo_earn_ss_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,mo_earn_pen_norm,cum_mo_earn_pen_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,mo_exp_lc_norm,cum_mo_exp_lc_norm,mo_exp_cc_norm,cum_mo_exp_cc_norm,mo_exp_al_cc_norm,cum_mo_exp_al_cc_norm,mo_exp_non_taylor_norm,cum_mo_exp_non_taylor_norm,mo_exp_total_lc_norm,cum_mo_exp_total_lc_norm,mo_exp_total_cc_norm,cum_mo_exp_total_cc_norm
2027-05-31,4.00000000000007,2.0000000000000684,1.0183181647596775,1.0366064203233052,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,194118.72341560406,208627.96950819713,30648.271502875188,342026.51359688246,32184.524679956055,356641.47347700165,8626.671969085704,96996.79744897767,9387.894999885959,104238.60122256416,3445.0,37895.0,2667.0,29337.0,6112.0,67232.0,5602.374775811229,62137.55512335664,1524.0816217456663,16904.02901865898,7126.456397556894,79041.58414201562,1109598.3075963266,626979.7006224587,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999998,105600.0,3784.1482298319042,41454.60796744302,0.0,0.0,9612.000000000004,105732.0,19211.9999999999,1109848.0277291273,13396.148229831864,627393.5072315653
2027-06-30,4.00000000000007,2.0000000000000684,1.0200000000000002,1.0400000000000005,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,211185.36140634777,227223.4121166567,30613.418098436658,372639.93169531913,32166.146403788844,388807.6198807905,8615.224343378082,105612.02179235575,9384.61090299154,113623.2121255557,3445.0,41340.0,2667.0,32004.0,6112.0,73344.0,5593.13725490196,67730.6923782586,1521.56862745098,18425.59764610996,7114.70588235294,86156.29002436856,1128464.7097335544,640138.2688052761,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999998,115200.0,3787.267991521879,45241.8759589649,0.0,0.0,9612.000000000004,115344.0,19211.999999999985,1129060.0277291273,13399.267991521854,640792.7752230872
2027-07-31,4.00000000000007,2.0000000000000684,1.0216846129279589,1.0434046893734874,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,228200.904901597,245781.67721445233,30578.73292659831,403218.6646219174,32147.898998625733,420955.5188794162,8603.850477573482,114215.87226992923,9381.382053096302,123004.594178652,3445.0,44785.0,2667.0,34671.0,6112.0,79456.0,5583.914965353669,73314.60734361227,1519.0597767272382,19944.657422837197,7102.974742080907,93259.26476644946,1147300.0038512014,653278.2627103525,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999993,124800.0,3790.3903252339815,49032.26628419888,0.0,0.0,9611.999999999998,124956.0,19212.000000000076,1148272.0277291273,13402.390325234059,654195.1655483212
2027-08-31,4.00000000000007,2.0000000000000684,1.0233720081311304,1.0468205248140223,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,245165.58694052754,264302.9375852285,30544.215889349398,433762.8805112668,32129.782419653726,453085.30129906995,8592.550338936679,122808.4226088659,9378.208443824808,132382.8026224768,3445.0,48230.0,2667.0,37338.0,6112.0,85568.0,5574.707882052004,78889.31522566426,1516.5550627422804,21461.21248557948,7091.262944794284,100350.52771124375,1166104.241241977,666399.7155381786,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000002,134400.0,3793.5152330886644,52825.78151728754,0.0,0.0,9611.999999999995,134568.0,19211.999999999825,1167484.027729127,13405.515233088667,667600.6807814098
2027-09-30,4.00000000000007,2.0000000000000684,1.0250621902046684,1.0502475428109284,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,262079.64011240174,282787.3657151723,30509.866889131292,464272.74740039813,32111.796622417303,485197.09792148723,8581.323894930372,131389.74650379628,9375.090068952653,141757.89269142944,3445.0,51675.0,2667.0,40005.0,6112.0,91680.0,5565.515979924023,84454.83120558829,1514.0544786752118,22975.26696425469,7079.570458599234,107430.09816984298,1184877.473114016,679502.660436624,10168706.986907614,7158417.209395055,3010289.7775125597,9600.0,144000.0,3796.64271720813,56622.42423449567,0.0,0.0,9611.99999999999,144180.0,19212.00000000022,1186696.0277291273,13408.642717208142,681009.323498618
2027-10-31,4.00000000000007,2.0000000000000684,1.0267551637513157,1.053685779972985,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,278943.2965577098,301235.13379380887,30475.685828837195,494748.43322923535,32093.94156281829,517291.03948430554,8570.171113215109,139959.91761701138,9372.026922406449,151129.9196138359,3445.0,55120.0,2667.0,42672.0,6112.0,97792.0,5556.339233938125,90011.17043952641,1511.558017716384,24486.824981971073,7067.897251654509,114497.99542149749,1203619.7505910187,692587.1305010265,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000007,153600.0,3799.7727797163247,60422.197014212,0.0,0.0,9612.000000000011,153792.0,19211.999999999905,1205908.0277291273,13411.772779716293,694421.0962783343
2027-11-30,4.00000000000007,2.0000000000000684,1.0284509333814174,1.05713527302882,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,295756.7879693087,319646.4137147945,30441.672611811973,525190.1058410474,32076.217197115595,549367.2566814212,8559.091961649097,148519.00957866048,9369.01899826377,160498.93861209968,3445.0,58565.0,2667.0,45339.0,6112.0,103904.0,5547.1776191039835,95558.34805863039,1509.0656730673763,25995.89065503845,7056.24329217136,121554.23871366885,1222331.1247123894,705653.1587742798,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000011,163200.0,3802.905422738943,64225.10243695094,0.0,0.0,9611.99999999999,163404.0,19211.99999999997,1225120.0277291273,13414.90542273894,707836.0017010733
2027-12-31,4.00000000000007,2.0000000000000684,1.0301495037129325,1.0605960588273,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,312520.34559355915,338021.3770767101,30407.827141851623,555597.932982899,32058.623481925457,581425.8801633467,8548.086408288282,157067.09598694876,9366.066290753202,169865.00490285287,3445.0,62010.0,2667.0,48006.0,6112.0,110016.0,5538.031110472475,101096.37916910287,1506.5774379409781,27502.468092979427,7044.608548413453,128598.8472620823,1241011.6464333755,718700.778246922,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000015,172800.0,3806.040648403448,68031.14308535439,0.0,0.0,9612.000000000015,173016.0,19212.000000000087,1244332.0277291273,13418.040648403456,721254.0423494767
2028-01-31,4.00000000000007,2.0000000000000684,1.0318508793714471,1.0640681743379263,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,329234.2002314607,356360.1951838519,30374.149323203303,585972.0823061023,32041.16037422094,613467.0405375676,8537.15442138609,165604.25040833483,9363.16879425425,179228.17369710712,3445.0,65455.0,2667.0,50673.0,6112.0,116128.0,5528.899683135615,106625.2788522385,1504.09330556117,29006.561398540598,7032.992988696786,135631.8402507791,1259661.3666252068,731730.0218572239,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999998,182400.0,3809.1784588390237,71840.32154419342,0.0,0.0,9612.0,182628.0,19212.000000000055,1263544.0277291273,13421.17845883908,734675.2208083158
2028-02-29,4.00000000000007,2.0000000000000684,1.033555064990187,1.0675516566512282,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,345898.58223978407,374663.0390470211,30340.639060564718,616312.721366667,32023.82783133191,645490.8683688994,8526.29596939349,174130.54637772831,9360.326503297374,188588.5002004045,3445.0,68900.0,2667.0,53340.0,6112.0,122240.0,5519.78331222649,112145.06216446498,1501.6132691631049,30508.174667703704,7021.396581389595,142653.23683216868,1278280.3360752333,744740.9224912766,10168706.986907614,7158417.209395055,3010289.7775125597,9600.0,192000.0,3812.318856176641,75652.64040037006,0.0,0.0,9612.000000000005,192240.0,19212.000000000062,1282756.0277291273,13424.318856176576,748099.5396644924
2028-03-31,4.00000000000007,2.0000000000000684,1.0352620652100297,1.0710465429791596,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,362513.7215322027,392930.0793843131,30307.296259084374,646620.0176257513,32006.62581094511,677497.4941798445,8515.511020958704,182646.05739868703,9357.539412563969,197946.03961296845,3445.0,72345.0,2667.0,56007.0,6112.0,128352.0,5510.681972919188,117655.74413738417,1499.1373219930904,32007.311989696795,7009.819294912279,149663.05612708096,1296868.6054870642,757733.5129830795,10168706.986907614,7158417.209395055,3010289.7775125597,9600.0,201600.0,3815.461842549037,79468.10224291909,0.0,0.0,9611.999999999996,201852.0,19211.99999999974,1301968.027729127,13427.461842549103,761527.0015070415
2028-04-30,4.00000000000007,2.0000000000000684,1.036971884679518,1.074552870655497,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,379079.84758042067,411161.4866219036,30274.1208243606,676894.138450112,31989.55427110374,709487.0484509482,8504.79954492735,191150.85694361437,9354.807516886232,207300.8471298547,3445.0,75790.0,2667.0,58674.0,6112.0,134464.0,5501.59564042873,123157.3397778129,1496.6654573085696,33503.97744700537,6998.2610977373,156661.31722481825,1315426.2254807055,770707.8261146278,10168706.986907614,7158417.209395055,3010289.7775125597,9600.0,211200.0,3818.6074200906455,83286.70966300974,0.0,0.0,9612.000000000007,211464.0,19212.000000000204,1321180.0277291273,13430.607420090513,774957.608927132
2028-05-31,4.00000000000007,2.0000000000000684,1.0386845280548715,1.0780706771362378,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,395597.1894153001,429357.4308948356,30241.112662442032,707135.251112554,31972.613170207587,741459.6616211558,8494.161510342206,199645.01845395658,9352.1308112474,216652.9779411021,3445.0,79235.0,2667.0,61341.0,6112.0,140576.0,5492.524290011006,128649.8640678239,1494.1976683781036,34998.17511538347,6986.721958389109,163648.03918320735,1333953.246592698,783663.8946159999,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999987,220800.0,3821.755590937744,87108.46525394748,0.0,0.0,9612.00000000001,221076.0,19211.999999999967,1340392.0277291273,13433.755590937808,788391.3645180698
2028-06-30,4.00000000000007,2.0000000000000684,1.0404000000000009,1.0816000000000008,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,412065.9756279854,447518.08204780304,30208.27167982673,737343.5227923808,31955.80246701288,773415.4640881687,8483.596886443092,208128.61534039967,9349.509290781458,226002.48723188354,3445.0,82680.0,2667.0,64008.0,6112.0,146688.0,5483.467896962702,134133.3319647866,1491.7339484813522,36489.90906386482,6975.201845444054,170623.2410286514,1352449.7192762545,796601.7511654454,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999989,230400.0,3824.906357228297,90933.37161117577,0.0,0.0,9611.999999999995,230688.0,19211.999999999898,1359604.0277291273,13436.906357228305,801828.2708752981
2028-07-31,4.00000000000007,2.0000000000000684,1.0421183051865186,1.0851408769484272,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,428486.4343710261,465643.60963593447,30175.597783462323,767519.1205758431,31939.122120631946,805354.5862088007,8473.105642666895,216601.72098306657,9346.942950773318,235349.43018265686,3445.0,86125.0,2667.0,66675.0,6112.0,152800.0,5474.426436621241,139607.75840140783,1489.2742909090564,37979.18335477388,6963.700727530298,177586.94175618168,1370915.6939013987,809521.4283894714,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000011,240000.0,3828.059721102082,94761.43133227785,0.0,0.0,9611.999999999995,240300.0,19212.000000000062,1378816.0277291273,13440.059721102092,815268.3305964002
2028-08-31,4.00000000000007,2.0000000000000684,1.0438394482937534,1.0886933458065835,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,444858.79335949733,483734.18292557466,30143.090880745447,797662.2114565886,31922.572090533402,837277.1582993341,8462.687748647446,225064.408731714,9344.431786658712,244693.86196931556,3445.0,89570.0,2667.0,69342.0,6112.0,158912.0,5465.399884364708,145073.15828577254,1486.8186889630194,39466.002043736895,6952.218573327727,184539.1603295094,1389351.2207551005,822422.9588629303,10168706.986907614,7158417.209395055,3010289.7775125597,9600.0,249600.0,3831.2156847006286,98592.64701697847,0.0,0.0,9612.000000000005,249912.0,19211.99999999992,1398028.0277291273,13443.215684700646,828711.5462811008
2028-09-30,4.00000000000007,2.0000000000000684,1.045563434008762,1.0922574445233657,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,461183.27987211844,501789.97089506534,30110.750879521765,827772.9623361103,31906.152336541832,869183.3106358759,8452.343174215384,233516.75190592938,9341.975794024134,254035.8377633397,3445.0,93015.0,2667.0,72009.0,6112.0,165024.0,5456.388215611785,150529.54650138432,1484.3671359560897,40950.369179692985,6940.755351567875,191479.91568107728,1407756.3500414132,835306.3751091063,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999985,259200.0,3834.374250167199,102427.02126714567,0.0,0.0,9612.000000000007,259524.0,19212.00000000013,1417240.0277291276,13446.374250167164,842157.920531268
2028-10-31,4.00000000000007,2.0000000000000684,1.0472902670263424,1.0958332111719047,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,477460.1207523695,519811.14223552414,30078.577688085505,857851.5400241958,31889.862818837642,901073.1734547135,8442.071889398108,241958.82379532748,9339.574968607034,263375.41273194674,3445.0,96460.0,2667.0,74676.0,6112.0,171136.0,5447.39140582169,155976.937907206,1481.9196252121405,42432.288804905125,6929.311031033831,198409.22671211112,1426131.131881612,848171.7095998027,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999982,268800.0,3837.5354196468575,106264.55668679252,0.0,0.0,9612.000000000024,269136.0,19212.000000000062,1436452.0277291276,13449.535419646852,855607.4559509149
2028-11-30,4.00000000000007,2.0000000000000684,1.0490199520490462,1.099420683949973,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,493689.54240960616,537797.865351623,30046.571215179247,887898.1112393751,31873.70349795722,932946.8769526707,8431.873864419655,250390.69765974712,9337.229306295505,272712.64203824225,3445.0,99905.0,2667.0,77343.0,6112.0,177248.0,5438.409430494099,161415.3473377001,1479.4761500660545,43911.76495497118,6917.885580560153,205327.11229267129,1444475.6163143283,861018.9947554278,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999987,278400.0,3840.6991952864464,110105.25588207897,0.0,0.0,9612.000000000025,278748.0,19212.00000000001,1455664.0277291276,13452.699195286583,869060.1551462015
2028-12-31,4.00000000000007,2.0000000000000684,1.0507524937871917,1.1030199011803923,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,509871.77082017175,555750.3083623644,30014.731369993795,917912.8426093688,31857.674334792617,964804.5512874634,8421.749069700689,258812.4467294478,9334.93880312853,282047.5808413708,3445.0,103350.0,2667.0,80010.0,6112.0,183360.0,5429.442265169089,166844.7896028692,1477.0367038637032,45388.801658834884,6906.4789690327925,212233.59126170407,1462789.8532956871,873848.2629450823,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000002,288000.0,3843.8655792345394,113949.12146131351,0.0,0.0,9611.999999999984,288360.0,19211.999999999876,1474876.0277291273,13455.865579234523,882516.020725436
2029-01-31,4.00000000000007,2.0000000000000684,1.0524878969588767,1.1066309013114437,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,526007.031528508,573668.6391018569,29983.058062167605,947895.9006715365,31841.775290591315,996646.3265780547,8411.697475858356,267224.1442053062,9332.703455295865,291380.2842966667,3445.0,106795.0,2667.0,82677.0,6112.0,189472.0,5420.4898854270705,172265.27948829625,1474.6012799619305,46863.40293879681,6895.091165389001,219128.68242709307,1481073.8926994433,886659.5464866448,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999998,297600.0,3847.0345736415043,117796.15603495501,0.0,0.0,9612.000000000002,297972.0,19212.0,1494088.0277291273,13459.03457364145,895975.0552990775
2029-02-28,4.00000000000007,2.0000000000000684,1.0542261662899912,1.1102537229172775,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,542095.5496482638,591553.0251200888,29951.551201786926,977847.4518733234,31826.006326956493,1028472.3329050111,8401.719053706196,275625.8632590124,9330.523259137979,300710.80755580467,3445.0,110240.0,2667.0,85344.0,6112.0,195584.0,5411.552266888713,177676.83175518498,1472.1698717285335,48335.572810525344,6883.722138617247,226012.4045657103,1499327.7843171163,899452.8776468586,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999998,307200.0,3850.206180659493,121646.3622156145,0.0,0.0,9612.000000000024,307584.0,19212.000000000076,1513300.0277291273,13462.206180659488,909437.261479737
2029-03-31,4.00000000000007,2.0000000000000684,1.0559673065142308,1.1138884046983262,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,558137.5498634011,609403.6336837014,29920.210699385265,1007767.6625727087,31810.367405846642,1060282.7003108577,8391.813774254077,284017.67703326646,9328.3982111461,310039.2057669508,3445.0,113685.0,2667.0,88011.0,6112.0,201696.0,5402.629385214888,183079.46114039986,1469.7424725422447,49805.31528306759,6872.371857757133,232884.77642346744,1517551.5778581272,912228.2886414176,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999998,316800.0,3853.380402442405,125499.7426180569,0.0,0.0,9612.000000000002,317196.0,19212.0,1532512.0277291273,13465.38040244242,922902.6418821794
2029-04-30,4.00000000000007,2.0000000000000684,1.0577113223731087,1.1175349854817171,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,574133.2564293003,627220.6317767596,29889.036465943253,1037656.6990386519,31794.85848957528,1092077.558800433,8381.981608708084,292399.65864197456,9326.328307962243,319365.534074913,3445.0,117130.0,2667.0,90678.0,6112.0,207808.0,5393.721216106596,188473.18235650644,1467.3190757927148,51272.634358860305,6861.040291899311,239745.81671536676,1535745.322949932,924985.8116350526,10168706.986907614,7158417.209395055,3010289.7775125597,9599.999999999982,326400.0,3856.5572411459334,129356.29985920283,0.0,0.0,9612.0,326808.0,19211.999999999873,1551724.027729127,13468.557241145878,936371.1991233253
2029-05-31,4.00000000000007,2.0000000000000684,1.0594582186159696,1.1211935042216876,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,590082.893173862,645004.1861015232,29858.02841288838,1067514.7274515403,31779.47954081143,1123857.0383412444,8372.222528470496,300771.88117044506,9324.31354637903,328689.84762129205,3445.0,120575.0,2667.0,93345.0,6112.0,213920.0,5384.827735304904,193858.01009181133,1464.899674880493,52737.5340337408,6849.727410185397,246595.54412555214,1553909.06913816,937725.4787416162,10168706.986907614,7158417.209395055,3010289.7775125597,9600.000000000005,336000.0,3859.7366989275392,133216.03655813038,0.0,0.0,9612.000000000015,336420.0,19212.000000000186,1570936.0277291273,13471.736698927636,949842.9358222529
